Avocado Cucumber Tomato Salad,Our family's favorite classic cucumber and tomato salad just got better with the addition of avocado,Images/Cucumber-tomato-avocado-salad.jpg,1 lb,Cherry tomatoes,halved,1,cucumber,sliced,1/2,medium red onion,sliced,2,avocados,sliced,1/3 cup,Olive oil,null,3 Tbps,Balsamic Vinegar,decanted,1 Tbps,Lemon Juice,null,1/2 tsp,basil,dried,1 tsp,garlic,minced,1/4 tsp,salt,null,1/4 tsp,pepper,null,2 Tbsp,cilantro,chopped,null,null,null,null,null,null,null,null,null,Instruction1,Instruction2,Instruction3,Instruction3,Instruction4,Instruction5,Intruction6,Insruction7,Instruction8,Instruction9,Instruction10,Instruction11,Instruction12,Instruction13,Instruction14,Instruction15
Beef Stroganoff with White Wine,Comfort food at its finest! Steak in a creamy white wine sauce served over pasta.,Images/Creamy-Beef-Stroganoff.jpg,3 TBSP,Butter,Room temp,Amount2,Ingredient2,Prep2,Amount3,Ingredient3,Prep3,Amount4,Ingredient4,Prep4,Amount5,Ingredient5,Prep5,Amount6,Ingredient6,Prep6,Amount7,Ingredient7,Prep7,Amount8,Ingredient8,Prep8,Amount9,Ingredient9,Prep9,Amount10,Ingredient10,Prep10,Amount11,Ingredient11,Prep11,Amount12,Ingredient12,Prep12,Amount13,Ingredient13,Prep13,Amount14,Ingredient14,Prep14,Amount15,Ingredient15,Prep15,Instruction1,Instruction2,Instruction3,Instruction3,Instruction4,Instruction5,Intruction6,Insruction7,Instruction8,Instruction9,Instruction10,Instruction11,Instruction12,Instruction13,Instruction14,Instruction15
Hummus,Christine's famous hummus,Images/Hummus.jpg,1 can (15 oz),Garbanzo Beans,Partially drained,2 TBSP,Lime Juice,fresh squeezed,1/2 cup,Tahini,null,1/4 tsp,Onion powder,null,3 cloves,garlic,crushed,2 tsp,Extra virgin light tasting Olive Oil,null,3 tsp,Cumin,null,1/2 tsp,Salt,null,Amount9,,,,,,,,,,,,,,,,,,,,,Blend in blender or food processor.,,,,,,,,,,,,,,,,
Beef and Broccoli,Beef and Broccoli is an easy 1-pan 30-minute meal that is loaded with fresh broccoli tender nutrition-packed beef and the best stir fry sauce,Images/Beef-and-Broccoli.jpg,1 lb,flank steak,very thinly sliced,Amount2,Ingredient2,Prep2,Amount3,Ingredient3,Prep3,Amount4,Ingredient4,Prep4,Amount5,Ingredient5,Prep5,Amount6,Ingredient6,Prep6,Amount7,Ingredient7,Prep7,Amount8,Ingredient8,Prep8,Amount9,Ingredient9,Prep9,Amount10,Ingredient10,Prep10,Amount11,Ingredient11,Prep11,Amount12,Ingredient12,Prep12,Amount13,Ingredient13,Prep13,Amount14,Ingredient14,Prep14,Amount15,Ingredient15,Prep15,Instruction1,Instruction2,Instruction3,Instruction3,Instruction4,Instruction5,Intruction6,Insruction7,Instruction8,Instruction9,Instruction10,Instruction11,Instruction12,Instruction13,Instruction14,Instruction15
Green curry Buddha Bowl,Green Curry Meat free Veggie packed Dish. Healthiest thing you will ever love.,Images/Green-buddha.jpg,4 cups,Brown Rice,Cooked,Amount2,Ingredient2,Prep2,Amount3,Ingredient3,Prep3,Amount4,Ingredient4,Prep4,Amount5,Ingredient5,Prep5,Amount6,Ingredient6,Prep6,Amount7,Ingredient7,Prep7,Amount8,Ingredient8,Prep8,Amount9,Ingredient9,Prep9,Amount10,Ingredient10,Prep10,Amount11,Ingredient11,Prep11,Amount12,Ingredient12,Prep12,Amount13,Ingredient13,Prep13,Amount14,Ingredient14,Prep14,Amount15,Ingredient15,Prep15,Instruction1,Instruction2,Instruction3,Instruction3,Instruction4,Instruction5,Intruction6,Insruction7,Instruction8,Instruction9,Instruction10,Instruction11,Instruction12,Instruction13,Instruction14,Instruction15
Brazilian Moqueca,Brazilian moqueca a fish stew made with firm white fish onions garlic bell peppers tomatoes cilantro and coconut milk.,Images/Brazilian-Fish-Stew.jpg,1 1/2,White Fish,Firm,2,Limes,Zested and Juiced,1/2 tsp,Salt,NULL,,,,,,,,,,,,,,,,Amount9,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Brocolli Soup,Try this healthy broccoli soup alongside grilled cheese sandwiches or as a starter for a simple dinner.,Images/broccoli-soup.jpg,Amount1,Ingredient1,Prep1,Amount2,,,,,,,,,,,,,,,,,,,,,Amount9,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Chicken Katsu Curry,Chicken Katsu curry is a Hawaiian variation of Japanese curry with a Chicken cutlet ontop.,Images/Katsu_Curry.jpg,Amount1,Ingredient1,Prep1,Amount2,,,,,,,,,,,,,,,,,,,,,Amount9,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Chilli Mac,A super easy filling flavorful American Classic.,Images/Chilli-Mac.jpg,Amount1,Ingredient1,Prep1,Amount2,,,,,,,,,,,,,,,,,,,,,Amount9,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Creamy Brocolli Soup,This Creamy Vegan Broccoli Soup is perfect for chilly weather.,Images/creamy-vegan-broccoli-soup12.jpg,Amount1,Ingredient1,Prep1,Amount2,,,,,,,,,,,,,,,,,,,,,Amount9,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Dumplings,Simple flour Dimplings not quite like the old country.,Images/Dumplings.jpg,Amount1,Ingredient1,Prep1,Amount2,,,,,,,,,,,,,,,,,,,,,Amount9,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Durango Potato Stew,A potato knock off of Durango Stew.,Images/Caldillo-Durango.jpg,Amount1,Ingredient1,Prep1,Amount2,,,,,,,,,,,,,,,,,,,,,Amount9,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Fish Tacos,This is our go-to recipe for family get togethers and company because it comes together quickly and it always gets rave reviews.,Images/Fish-Tacos.jpg,Amount1,Ingredient1,Prep1,Amount2,,,,,,,,,,,,,,,,,,,,,Amount9,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Golden Soup,This is quite possibly the best soup I've ever made! It's so unbelievably creamy and barely need any ingredients!,Images/Golden-Soup.jpg,Amount1,Ingredient1,Prep1,Amount2,,,,,,,,,,,,,,,,,,,,,Amount9,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Sausage and Rice Casserole,This Remake of a Classic is sure to please.,Images/Sausage-and-Rice-Cass.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Season Potatoes,Perfectly Seasoned and Crispy just what you need with dinner.,Images/Crispy-Oven-Roasted-Potatoes.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Sicilian Style Fish Stew,An all-star recipe for fish stew with a Sicilian twist! The comfort of Italian flavors in one delicious stew cooked in a white wine-tomato broth with garlic and capers.,Images/Sicilian-Style-Fish-Stew.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Singapore Noodles,A firm takeout favourite! With its signature curry flavour and yellow hue,Images/Singapore-Noodles.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Spicy Peanut Soup,So so yummy! I just made this soup and the final result exceeded my expectations,Images/peanut-stew.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Stir Fry,Easy Stir Fry Just add all your favorite veggies.,Images/Stir-fry.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Sweet Potato  Bowl,Healthy kale and quinoa power salad with spicy sweet potato,Images/Sweet-potato-bowl.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Thai Butternut Squash Red Curry,Ultra creamy and delicious Thai inspired butternut squash red curry that is creamy,Images/Thai-Red-Butternut-Squash-Curry.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Tomato Soup,Tomatoes roasted with a hint of garlic to bring out the natural flavor and then blended to a creamy finish.,Images/Tomato-Soup.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Butternut Squash Cannelloni,Squash filling and peppery greens are placedinthe center of sheets of pasta.,Images/Butternut-squash.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Tuscan white Bean soup,This Tuscan White Bean Soup is a simple and savory vegetarian recipe that comes together in less than 30 minutes!This Tuscan White Bean Soup is a simple and savory vegetarian recipe that comes together in less than 30 minutes!,Images/Tuscan-white-bean-soup.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Adult Tuna Caserole,A grown up version of a timeless Classic,Images/tuna-caserole.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Summer Veggie Cioppin,A vegitarian version of a cult classic.,Images/summer-veggie-cioppino.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
White Bean and Mushroom Soup,Naturally vegan and allergy-friendly! Sure to please Creamy umami.,Images/vegan-white-bean-mushroom-soup.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Chili,Award winning authentic New mexico style cattle drive chili.,Images/Chili.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Mediterranean Turkey Skillet,Ive always heard that its important to eat a rainbow of colors to get all of the nutrients we need Just add some lean protien.,Images/Med-Turkey-Skillet.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Mediterranean Chicken Skillet,This single-skillet recipe is impressive enough to make it company-worthy,Images/Med-Chicken-Skillet.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
Moo shu pork,Top of the line 1980s Dish. Fan Favorite.,Images/mooshupo.jpg,Amount1,Ingredient1,Prep1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Instruction1,,,,,,,,,,,,,,,,
